代號,名稱,外資買賣超,投信買賣超,三大法人買賣超
6143,振曜,53001,0,81143
6146,耕興,9000,0,22411
6147,頎邦,-3965503,-9094,-3872832
6148,驊宏資,56000,0,56095
6150,撼訊,23000,0,22847
6151,晉倫,152000,0,152000
6156,松上,237000,0,237000
6158,禾昌,22000,0,22000
6160,欣技,38000,0,37906
6161,捷波,37000,0,36483
6163,華電網,-906000,0,-899276
6167,久正,26000,0,20709
6169,昱泉,8000,0,8000
6170,統振,-13998,0,-28998
6171,大城地產,-1000,0,-1000
6173,信昌電,577011,0,618429
6174,安碁,-9000,0,-10000
6175,立敦,101000,0,106910
6179,亞通,-109000,0,-110554
6180,橘子,29000,-867,31118
6182,合晶,1490320,0,1655162
6185,幃翔,-54000,0,-54319
6186,新潤,-51200,0,-51200
6187,萬潤,30765,3300,50844
6188,廣明,328000,-89000,300260
6190,萬泰科,2938000,0,3315212
6194,育富,-9000,0,-9000
6198,瑞築,-1000,0,-1000
6199,天品,78000,0,106369
6203,海韻電,21000,0,21409
6204,艾華,-3000,0,-3000
6207,雷科,137000,0,138054
6208,日揚,-10024,0,-11024
6210,慶生,0,0,-18
6212,理銘,-1000,0,-1000
6217,中探針,-3514899,3000,-3801146
6218,豪勉,284000,0,302977
6219,富旺,63000,0,63000
6220,岳豐,-208999,0,-209307
6221,晉泰,-39000,0,-39000
6222,立軒,1000,0,1000
6223,旺矽,-64476,74572,-467
6227,茂綸,-414000,0,-421439
6229,研通,8000,0,8000
6231,系微,92000,0,87036
6233,旺玖,101000,0,101000
6234,高僑,428000,0,430532
6237,驊訊,142000,0,142848
6244,茂迪,405010,0,436834
6245,立端,322090,0,344443
6246,臺龍,-1000,0,-402
6248,沛波,9000,0,8508
6261,久元,-100999,0,-193002
6263,普萊德,27000,0,27000
6265,方土昶,534000,0,510000
6266,泰詠,-23000,0,-23092
6270,倍微,90000,0,90000
6274,台燿,782878,447001,1144310
6275,元山,24000,0,23920
6276,安鈦克,3001,0,3883
6279,胡連,-245000,-21000,-265324
6284,佳邦,377000,0,390699
6290,良維,-1030000,1400,-1114054
6291,沛亨,-568000,0,-567721
6292,迅德,24000,0,24000
6294,智基,-1000,0,-1000
6411,晶焱,12001,0,12838
6417,韋僑,-5000,0,-5000
6418,詠昇,9000,0,9000
6419,京晨科,72000,0,72000
6423,億而得,0,0,0
6425,易發,3000,0,3000
6432,今展科,24000,0,24552
6435,大中,-90980,0,-114018
6441,廣錠,-11000,0,-11003
6461,益得,27000,0,27000
6462,神盾,396000,-5000,397807
6465,威潤,-20010,0,-20010
6469,大樹,-38000,0,-29202
6470,宇智,49000,0,49019
6482,弘煜科,-6000,0,-6000
6485,點序,93000,0,102100
6486,互動,59000,0,59000
6488,環球晶,617972,432844,1208555
6492,生華科,0,0,-604
6494,九齊,50000,0,59278
6496,科懋,-2019,0,-2019
6498,久禾光,6000,0,6000
6499,益安,7000,0,6573
6506,雙邦,-1000,0,-1000
6508,惠光,-1991,0,-1991
6509,聚和,1122700,-1000,1119047
6510,精測,-62666,22080,-68801
6516,勤崴國際,9000,0,9000
6517,保勝光學,56001,0,56170
6523,達爾膚,-2000,0,-2000
6530,創威,-1818000,0,-1818716
6532,瑞耘,150000,0,150000
6535,順藥,49000,0,49072
6538,倉和,15000,-153,14973
6542,隆中,0,0,0
6546,正基,223000,0,228695
6547,高端疫苗,258000,0,265000
6548,長科*,-268000,0,-202773
6560,欣普羅,-10000,0,-10534
6561,是方,115009,0,123558
6568,宏觀,-446500,0,-420632
6569,醫揚,-1000,0,-1000
6570,維田,17000,0,17012
6574,霈方,1000,0,1919
6576,逸達,-12000,0,-12000
6577,勁豐,2000,0,2000
6578,達邦蛋白,0,0,0
